coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow,lat,lon,temp,temp_min,temp_max,cloudiness,wind_speed,wind_direction,humidity
"{'lon': -73.82, 'lat': -41.87}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 287.15, 'feels_like': 285.3, 'temp_min': 287.15, 'temp_max': 287.15, 'pressure': 1015, 'humidity': 82}",10000.0,"{'speed': 3.1, 'deg': 150}",{'all': 0},1582430673.0,"{'type': 1, 'id': 8512, 'country': 'CL', 'sunrise': 1582453686, 'sunset': 1582501779}",-10800.0,3899695.0,Ancud,200,,,,-41.87,-73.82,287.15,287.15,287.15,0.0,3.1,150.0,82.0
"{'lon': -87.63, 'lat': 46.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 273.4, 'feels_like': 268.4, 'temp_min': 270.37, 'temp_max': 275.93, 'pressure': 1011, 'humidity': 74}",16093.0,"{'speed': 3.6, 'deg': 190}",{'all': 1},1582430612.0,"{'type': 1, 'id': 5777, 'country': 'US', 'sunrise': 1582375408, 'sunset': 1582413901}",-18000.0,5000950.0,Marquette,200,,,,46.53,-87.63,273.4,270.37,275.93,1.0,3.6,190.0,74.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
"{'lon': 25.57, 'lat': -33.92}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 287.15, 'feels_like': 285.91, 'temp_min': 287.15, 'temp_max': 287.15, 'pressure': 1023, 'humidity': 87}",10000.0,"{'speed': 2.6, 'deg': 230}",{'all': 20},1582430405.0,"{'type': 1, 'id': 1973, 'country': 'ZA', 'sunrise': 1582430392, 'sunset': 1582477370}",7200.0,964420.0,Port Elizabeth,200,,,,-33.92,25.57,287.15,287.15,287.15,20.0,2.6,230.0,87.0
"{'lon': -70.1, 'lat': 41.28}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 273.18, 'feels_like': 265.67, 'temp_min': 270.93, 'temp_max': 276.15, 'pressure': 1022, 'humidity': 63}",16093.0,"{'speed': 6.83, 'deg': 297}",{'all': 1},1582430674.0,"{'type': 1, 'id': 4119, 'country': 'US', 'sunrise': 1582370782, 'sunset': 1582410112}",-18000.0,4944903.0,Nantucket,200,,,,41.28,-70.1,273.18,270.93,276.15,1.0,6.83,297.0,63.0
"{'lon': 172.79, 'lat': 3.07}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 302.25, 'feels_like': 304.67, 'temp_min': 302.25, 'temp_max': 302.25, 'pressure': 1007, 'humidity': 77, 'sea_level': 1007, 'grnd_level': 1007}",,"{'speed': 5.4, 'deg': 45}",{'all': 41},1582430546.0,"{'country': 'KI', 'sunrise': 1582396881, 'sunset': 1582440221}",43200.0,2110227.0,Butaritari,200,{'3h': 1.13},,,3.07,172.79,302.25,302.25,302.25,41.0,5.4,45.0,77.0
"{'lon': -70.92, 'lat': -53.15}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 283.45, 'feels_like': 279.3, 'temp_min': 283.15, 'temp_max': 283.71, 'pressure': 1002, 'humidity': 66}",10000.0,"{'speed': 4.1, 'deg': 280}",{'all': 20},1582430670.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1582451839, 'sunset': 1582502235}",-10800.0,3874787.0,Punta Arenas,200,,,,-53.15,-70.92,283.45,283.15,283.71,20.0,4.1,280.0,66.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
"{'lon': -114.06, 'lat': 27.98}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 288.43, 'feels_like': 282.8, 'temp_min': 288.43, 'temp_max': 288.43, 'pressure': 1020, 'humidity': 75, 'sea_level': 1020, 'grnd_level': 1019}",,"{'speed': 8.46, 'deg': 325}",{'all': 82},1582430675.0,"{'country': 'MX', 'sunrise': 1582380493, 'sunset': 1582421501}",-25200.0,4021858.0,Guerrero Negro,200,,,,27.98,-114.06,288.43,288.43,288.43,82.0,8.46,325.0,75.0
,,,,,,,,,,,,404,,city not found,,,,,,,,,,
